Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-2522.0832796200566,-3225.7633209228516,-3741.8263342127148
-2461.0619047225628,-3047.9393005371094,-3658.946446088999
-2440.333997093642,-2955.531120300293,-3639.260259029688
-2406.0329388949185,-2990.9820556640625,-3591.742648631464
-2323.36885426791,-2809.192657470703,-3545.9835284513933
-1765.9536577415424,-2079.8263549804688,-3083.544359882458
-1563.0318805095164,-1659.0728759765625,-2864.966050450711
-1383.1129313028234,-1620.901107788086,-2713.3402149295866
-1183.981174428937,-1120.1305389404297,-2386.8724681997237
-2029.9470864286159,-2250.640869140625,-3286.7928520784226
-1903.686238369411,-1966.8502807617188,-3074.4583729523
-2171.9283655614154,-2334.7034454345703,-3354.705533583156
-2014.2769306656235,-2068.173408508301,-3188.1232729623744
-2121.8252224302946,-2223.361015319824,-3310.2156729091257
-2134.099413040268,-2203.371047973633,-3310.816927595577
-1853.3181198528696,-1751.601219177246,-2985.9270062117216
-1814.4857625184727,-1701.5933990478516,-2940.931374372369
-1219.437105800435,-911.0240936279297,-2286.3104755812506
-1202.4095350325144,-887.8440856933594,-2267.6472060126284
-837.6454893278639,-495.35465240478516,-1900.0185011383792
-1367.1324106803004,-1058.7902069091797,-2420.073668324611
-1345.7408249716912,-1033.447265625,-2387.552363362859
-919.0032973108106,-535.5606079101562,-1903.5737846202685
-1108.1277002004933,-942.2264099121094,-1897.3956836545767
-1468.9730029784794,-1396.0990905761719,-2274.178926829834
-1660.484868592153,-1651.7915725708008,-2498.4200720898057
-1752.088997673242,-1766.3555145263672,-2588.5482302267887
-2113.14740209559,-2261.9104385375977,-3024.8502706795216
-2205.010084196649,-2384.373664855957,-3074.9466122128947
-2132.018670945835,-2297.186851501465,-2997.536799199807
-2157.7129444708708,-2171.8626022338867,-3073.9194507030375
-2367.7381708343264,-2519.8144912719727,-3246.9790720140973
-3199.383667458225,-3671.330451965332,-3958.5402908004125
-3151.1063673306094,-3612.7138137817383,-3903.944815439301
-3028.2702444579027,-3456.7251205444336,-3753.119543039539
-3561.748765018009,-4051.0482788085938,-4268.956165753757
-3702.22671101291,-4171.116828918457,-4405.027095121889
-3764.8605835376,-4232.291221618652,-4472.128694221556
-3982.2058855949103,-4402.270317077637,-4680.913146852809
-4219.813634456215,-4549.910545349121,-4896.7853015620585
-3871.0245176629364,-4322.668075561523,-4537.084399052916
-4404.60080685304,-4653.908729553223,-5085.5375699011765
-4552.29412521909,-4684.378623962402,-5212.139950106721
-4114.5448917054255,-4488.816261291504,-4729.820761204094
-4563.248907968843,-4668.8432693481445,-5178.7663332822785
-4532.069694924378,-4552.516937255859,-5103.178007492086
-4746.50286053974,-4560.4248046875,-5305.195236145616
-4493.035829706689,-4576.1003494262695,-5053.105629756021
-4619.722951360404,-4655.6596755981445,-5197.7835040084665
-4500.585757469645,-4607.030868530273,-5084.126847591303
-4432.9649340463975,-4596.857070922852,-5004.237640820457
-4605.3456601995895,-4683.045387268066,-5194.617428034656
-4344.929649188686,-4530.126571655273,-4915.98231710627
-4067.2264843721337,-4342.351913452148,-4580.3619794375345
-4406.484245348159,-4482.1929931640625,-4921.168185334385
-4472.33817325055,-4552.803039550781,-5024.691034880429
-4657.848093770181,-4670.145034790039,-5236.544293316911
-4703.711579079516,-4652.169227600098,-5277.4039148326465
-4819.803931258919,-4662.900924682617,-5397.637170269833
-4352.435502307346,-4560.894012451172,-4904.241844086403
-4435.500525773083,-4559.781074523926,-4983.274049227794
-4421.323606617737,-4588.248252868652,-4985.527455092261
-4445.842261220522,-4616.394996643066,-5034.409630091416
-4562.207667822382,-4716.361999511719,-5182.8314677091
-4435.781290485955,-4589.200973510742,-5029.828033374855
-4711.420151747003,-4698.59504699707,-5295.9200932707845
-5103.4550364995275,-4762.636184692383,-5716.4597129083595
-5067.383716442223,-4555.254936218262,-5632.2072235529195
-4997.758928280455,-4633.821487426758,-5594.346455964503
-4762.330546504887,-4514.147758483887,-5309.581407532846
